edge,edge_betweenness,0
"('0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c', '02f3067188240c75beb36477db63771f66c976f7e5bdd6f6ace5508396aba24815')",30952.202060500673
"('02b0172bb38617fa3afdb69664468b492d5a21062a4fa8b47284b0cc320e6e7420', '020e56a13babec99abdc2c4afbe34e1e44230d79b234c059fd4ff1e367765fdb1b')",27838.678090186466
"('0374ecf61ed6c1208c42339f47decde2bc0c4393ac95f07827b3471e939d7eb961', '0366d8a3608b352daca0d29c6c0ca464be81bef261153339b2571da8e1f7ff8228')",12420.456683627492
"('0366d8a3608b352daca0d29c6c0ca464be81bef261153339b2571da8e1f7ff8228', '03230f7f5ca30ad83b51976f4c0e93d6f69c262a3a9bf53565614bfdf57bf7f879')",12121.102755338612
"('03166a818eb5b9245f2838795f96928815fcb8e010aac7f5e4d5e3e18f6f21c066', '0327049d8d63f0c40193cdf3afc61817c8647808a4e482de0716fcef74e6d92ebf')",12046.426823336475
"('03c436af41160a355fc1ed230a64f6a64bcbd2ae50f12171d1318f9782602be601', '02f3067188240c75beb36477db63771f66c976f7e5bdd6f6ace5508396aba24815')",11885.587399283995
"('0279c22ed7a068d10dc1a38ae66d2d6461e269226c60258c021b1ddcdfe4b00bc4', '03c436af41160a355fc1ed230a64f6a64bcbd2ae50f12171d1318f9782602be601')",11618.070657636077
"('0272d72c958cabb909caac265519286bdf2d036d1f019a016cb202e8ef50f6d7a2', '02f3067188240c75beb36477db63771f66c976f7e5bdd6f6ace5508396aba24815')",11480.797624851051
"('020f0d93c700cf5cf556e61828fab473a5c30ee6eb927ae36a130cc1c57326d21a', '03c436af41160a355fc1ed230a64f6a64bcbd2ae50f12171d1318f9782602be601')",11442.94323540449
"('0395033b252c6f40e3756984162d68174e2bd8060a129c0d3462a9370471c6d28f', '02b0172bb38617fa3afdb69664468b492d5a21062a4fa8b47284b0cc320e6e7420')",10619.024751714465
"('0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c', '032de549c153a4e125f37c3faf1bf2c02c70b40df23c7a51635078acb12d999557')",10604.43693327084
"('0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266', '0227bf336b0b7f745cc77eefa802e70823e048bcf25fb1772320b8db1048370811')",9990.639924361523
"('0279c22ed7a068d10dc1a38ae66d2d6461e269226c60258c021b1ddcdfe4b00bc4', '02e2bf9e87c7ba0ea046882d9b3301ca9a3b049aa920dccbd836c4008eac32d4e5')",9919.939562041682
"('02b0172bb38617fa3afdb69664468b492d5a21062a4fa8b47284b0cc320e6e7420', '03c436af41160a355fc1ed230a64f6a64bcbd2ae50f12171d1318f9782602be601')",9677.995565746269
